code,company_name,gics_sector,gics_industry_group,market_cap_rank
GT3,GREEN360 TECHNOLOGIES LIMITED,Materials,Materials,833
FGR,FIRST GRAPHENE LIMITED,Materials,Materials,834
EPM,ECLIPSE METALS LIMITED,Energy,Energy,835
LKY,LOCKSLEY RESOURCES LIMITED,Materials,Materials,836
TRJ,TRAJAN GROUP HOLDINGS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",837
CKA,COKAL LIMITED,Materials,Materials,838
JLL,JINDALEE LITHIUM LIMITED,Materials,Materials,839
UBN,URBANISE.COM LIMITED,Information Technology,Software & Services,840
CTP,CENTRAL PETROLEUM LIMITED,Energy,Energy,841
RMI,RESOURCE MINERALS INTERNATIONAL LTD,Materials,Materials,842
CTO,CITIGOLD CORPORATION LIMITED,Materials,Materials,843
SIX,SPRINTEX LIMITED,Consumer Discretionary,Automobiles & Components,844
RKN,RECKON LIMITED,Information Technology,Software & Services,845
MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",846
FRM,FARM PRIDE FOODS LIMITED,Other,"Food, Beverage & Tobacco",847
DOC,DOCTOR CARE ANYWHERE GROUP PLC,Health Care,Health Care Equipment & Services,848
ARD,ARGENT MINERALS LIMITED,Materials,Materials,849
G11,G11 RESOURCES LIMITED,Materials,Materials,850
AW1,AMERICAN WEST METALS LIMITED,Materials,Materials,851
BRK,BROOKSIDE ENERGY LIMITED,Energy,Energy,852
DCC,DIGITALX LIMITED,Information Technology,Software & Services,853
RCM,RAPID CRITICAL METALS LIMITED,Materials,Materials,854
CAV,CARNAVALE RESOURCES LIMITED,Materials,Materials,855
SHM,SHRIRO HOLDINGS LIMITED,Consumer Discretionary,Consumer Durables & Apparel,856
CTE,CRYOSITE LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",857
SNT,SYNTARA LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",858
MAP,MICROBA LIFE SCIENCES LIMITED,Health Care,Health Care Equipment & Services,859
HMD,HERAMED LIMITED,Health Care,Health Care Equipment & Services,860
TPC,TPC CONSOLIDATED LIMITED,Utilities,Utilities,861
DVL,DORSAVI LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",862
